,ID,board_t,env_t,light_strength,efficiency,efficiency_A,efficiency_B,efficiency_C,V_A,V_B,V_C,I_A,I_B,I_C,P_A,P_B,P_C,P_avg,wind_speed,wind_direction,y,predicted_V_A,predicted_V_B,predicted_V_C,predicted_I_A,predicted_I_B,predicted_I_C
7834,16702,6.01,6.5,47,19.73,19.75,18.53,20.89,728,725,733,1.35,1.36,1.29,982.8,986,945.57,971.46,2.1,234,,631.6785086,630.9100818,626.6364903,0.435663299,0.412907376,0.465306474
7835,16704,6.08,6.4,70,18.1,16.65,17.88,19.76,737,731,733,1.24,1.09,1.29,913.88,796.79,945.57,885.41,2.3,27,,637.0790367,634.8256588,633.3669589,0.603875006,0.567913927,0.597762819
7934,16909,13.14,11.8,74,32.03,35.55,38.23,22.32,665,662,661,1.35,1.36,1.43,897.75,900.32,945.23,914.43,2.9,290,,627.2510534,630.584041,623.8121386,1.219613505,1.164838549,1.258060638
7981,17000,18.72,12,710,21.31,21.81,20.4,21.71,686,687,680,1.28,1.29,1.39,878.08,886.23,945.2,903.17,2.1,312,,634.6664769,633.032806,630.8876655,7.207320313,7.510025879,7.488266314
8011,17068,18.83,13.8,673,10.14,6.55,5.62,18.24,617,616,613,1.55,1.52,1.54,956.35,936.32,944.02,945.56,1.8,322,,633.656047,642.9542029,630.7843657,4.961023874,4.138779496,2.131944813
8083,17213,15.47,13.9,125,17.22,17.2,15.19,19.27,668,661,664,1.36,1.36,1.42,908.48,898.96,942.88,916.77,2.3,186,,631.3143796,631.8932577,631.8080736,1.064059017,1.019188986,1.09074444
8118,17281,16.79,15.8,166,17.64,17.77,17.65,17.51,658,652,650,1.41,1.29,1.45,927.78,841.08,942.5,903.79,4.4,217,,632.3310363,631.5062903,629.8523273,1.484006896,1.41873266,1.385558269
8148,17347,9.14,8.9,80,16.67,16.55,16.26,17.21,715,715,714,1.23,1.39,1.32,879.45,993.85,942.48,938.59,1.3,299,,631.4054422,631.0212068,627.5622827,0.628156859,0.590967034,0.663580444
8149,17348,9.22,9,83,16.56,16.2,16.35,17.12,663,662,663,1.38,1.4,1.42,914.94,926.8,941.46,927.73,1.7,270,,634.1760073,632.2777389,630.3310196,0.656713197,0.632727197,0.671912017
8207,17460,4.8,5.3,53,21.45,20.04,21.37,22.94,691,687,686,1.38,1.34,1.37,953.58,920.58,939.82,937.99,2.5,38,,639.2266596,636.9356137,633.6003914,0.498230719,0.519399786,0.552477589
8271,17593,18.89,11.3,702,20.16,19.9,19.98,20.59,661,656,657,1.4,1.39,1.43,925.4,911.84,939.51,925.58,2.4,312,,632.2526595,631.0891888,629.1057113,6.858712581,6.885088341,7.000930637
8343,17743,15.6,15.8,182,10.79,11.12,10.59,10.68,721,673,745,0.64,0.27,1.26,461.44,181.71,938.7,527.28,1.7,284,,635.7633386,634.3339506,632.2711383,0.955670018,0.928613789,0.961977999
8360,17783,22.49,13.6,621,18.96,19.02,18.49,19.36,658,661,661,1.4,1.41,1.42,921.2,932.01,938.62,930.61,2.7,234,,632.5459538,632.6625029,629.8157023,5.778521206,5.740051829,5.89879741
3432,7655,18.43,-1.4,591,26.86,26.5,26.73,27.35,716,718,716,1.24,1.37,1.31,887.84,983.66,937.96,936.49,0,280,,632.8602998,629.8656409,630.7746343,7.686403515,7.689728678,7.867620924
3562,7929,-3.87,-2.9,17,30.66,31.49,30.65,29.84,612,603,601,1.93,1.82,1.56,1181.16,1097.46,937.56,1072.06,3,85,,640.7124994,635.1386074,634.6267568,0.225865269,0.236349142,0.233040655
3608,8042,17.09,-2.6,595,26.23,25.83,26.01,26.87,685,681,682,1.35,1.33,1.37,924.75,905.73,934.34,921.61,0,210,,636.4652447,634.1874355,632.2046523,7.461189425,7.520887796,7.63854019
3654,8152,-9.16,-8.4,19,27.56,25.09,28.39,29.18,646,644,643,1.61,1.53,1.45,1040.06,985.32,932.35,985.91,3,92,,655.1631735,644.6721645,644.1491635,0.207703995,0.224670443,0.236954845
4762,10460,19.45,1.3,644,25.8,25.63,25.72,26.05,676,675,674,1.46,1.47,1.38,986.96,992.25,930.12,969.78,1.1,250,,632.6883755,630.0108167,630.2862027,8.101611613,8.108734602,8.158676823
4769,10470,18.85,1.7,625,25.37,25.32,25.35,25.45,728,724,744,0.67,0.15,1.25,487.76,108.6,930,508.79,3.1,243,,636.6980622,631.844761,632.0583109,7.67331187,7.722978251,7.811879154
4848,10635,19.83,6.1,627,25.06,24.79,24.91,25.48,644,644,645,1.55,1.45,1.44,998.2,933.8,928.8,953.6,2.4,226,,636.4122969,632.6337795,631.9210651,7.616551582,7.601931787,7.748138549
4849,10636,19.83,6.3,626,25.09,24.83,24.85,25.61,704,690,709,1.16,1.27,1.31,816.64,876.3,928.79,873.91,3.2,239,,635.9187397,632.4908885,631.7164382,7.581082096,7.625109372,7.780487705
4882,10693,22.31,12,482,23.33,23.39,23.19,23.4,702,706,693,1.32,1.69,1.34,926.64,1193.14,928.62,1016.13,4,206,,635.295371,632.2967409,631.4928965,5.518755857,5.523921899,5.557859069
4884,10695,22.24,12.3,475,23,23.02,22.9,23.07,662,658,658,1.38,1.37,1.41,913.56,901.46,927.78,914.27,1.7,251,,635.0771647,632.1424004,631.7626155,5.39763154,5.354556742,5.390501435
4887,10700,20.18,12.1,308,20.03,20.81,17.87,21.41,672,669,667,1.35,1.35,1.39,907.2,903.15,927.13,912.49,2.7,248,,637.6918763,634.807116,635.0807932,2.984855648,3.086769664,2.880819483
4893,10710,15.97,12.1,135,21.66,22.18,21.72,21.07,638,638,635,1.43,1.45,1.46,912.34,925.1,927.1,921.51,1.6,256,,636.3027934,634.3165393,630.9873162,1.390138375,1.377606621,1.420590266
4897,10718,12.55,11.8,127,18.96,17.74,18.41,20.72,662,660,662,1.37,1.37,1.4,906.94,904.2,926.8,912.65,0,251,,641.8624728,636.2623646,639.6268939,1.085160362,1.096895915,1.140442997
5177,11217,15.27,-0.2,702,25.37,25.42,25.08,25.6,626,615,622,1.57,1.48,1.49,982.82,910.2,926.78,939.93,1,20,,632.137637,629.5067897,631.1472254,8.478380237,8.562618719,8.672909021
5299,11448,20.26,6.2,685,24.27,24.81,24.01,24.01,665,663,661,1.41,1.34,1.4,937.65,888.42,925.4,917.16,4.8,264,,633.1294281,629.956889,631.6391015,8.053810176,8.192900363,8.250082167
5304,11457,20.58,7,655,24.38,24.04,24.46,24.65,709,707,706,1.54,1.55,1.31,1091.86,1095.85,924.86,1037.52,7.3,274,,636.2751194,631.5314849,632.5497748,7.805926667,7.760325896,7.921454404
5521,11926,21.47,15.2,420,21.8,21.79,21.35,22.26,694,692,695,1.17,1.11,1.33,811.98,768.12,924.35,834.82,1.5,42,,633.521836,631.8211141,630.8942314,4.471837255,4.465630342,4.54622479
5557,12020,18.78,0.2,639,23.67,23.42,23.52,24.06,613,612,612,1.5,1.42,1.51,919.5,869.04,924.12,904.22,1.1,185,,637.1097179,633.3687532,631.993162,7.267491539,7.299651402,7.454942356
5562,12026,17.24,0.8,667,23.87,23.68,23.73,24.19,662,661,660,1.36,1.33,1.4,900.32,879.13,924,901.15,2.3,64,,634.6108993,631.9076776,631.4340711,7.604341995,7.660256546,7.828551354
5599,12118,18.16,4.1,550,22.14,21.98,22.17,22.28,648,641,646,1.22,1.36,1.43,790.56,871.76,923.78,862.03,0.9,52,,636.7861953,634.034129,631.9086225,5.963025733,5.820330982,5.96980942
5694,12310,21.1,6.8,589,22.93,22.9,22.69,23.2,640,637,637,1.28,1.11,1.45,819.2,707.07,923.65,816.64,2.8,201,,632.9904985,630.0553334,630.2365302,6.617897225,6.638537873,6.721937684
5852,12635,21.2,7.7,532,22.09,21.86,21.97,22.44,685,687,684,1.3,1.36,1.35,890.5,934.32,923.4,916.07,3.1,275,,635.9632945,632.1879038,631.8940536,5.780292463,5.653639559,5.821349508
5916,12765,22.47,15,445,20.44,20.4,20.01,20.91,680,682,684,1.29,1.3,1.35,877.2,886.6,923.4,895.73,2.1,254,,635.4688952,632.8676951,632.0317713,4.480688975,4.47304323,4.488199238
5930,12801,12.79,13.9,73,21.14,21.9,20.91,20.62,718,719,710,1.78,2.41,1.3,1278.04,1732.79,923,1311.28,2.3,206,,634.3390519,630.2717042,629.6357185,0.711277447,0.747182326,0.746201187
5960,12848,20.7,12.3,580,22.45,22.55,21.99,22.8,729,583,749,0.7,0.28,1.23,510.3,163.24,921.27,531.6,3.8,280,,633.7530375,631.3886453,630.9450589,6.333197109,6.361585856,6.500571046
5964,12857,19.43,12.8,633,22.65,22.58,22.37,23.01,733,737,731,1.11,1.11,1.26,813.63,818.07,921.06,850.92,2,267,,631.0860919,629.8042124,629.3739795,6.942317907,6.949221986,7.141761337
6016,12955,20.78,14.5,546,21.48,21.78,21.08,21.56,690,691,692,1.36,1.34,1.33,938.4,925.94,920.36,928.23,1.3,287,,633.4293064,631.358918,630.1709999,5.741327405,5.730456158,5.878145555
6018,12959,20.53,13.9,510,21.27,21.57,21.21,21.03,680,673,671,1.33,1.4,1.37,904.4,942.2,919.27,921.96,2.2,307,,635.7864336,632.1032687,632.5170203,5.312209184,5.294061978,5.293283756
6019,12961,20.45,14.4,514,21.16,21.33,21.17,20.99,718,697,718,0.65,0.41,1.28,466.7,285.77,919.04,557.17,2.7,302,,636.2027211,632.189715,632.6785741,5.290723966,5.309133267,5.31249584
6154,13249,21.82,13.6,477,20.86,21.04,20.49,21.05,675,684,683,1.12,1.16,1.34,756,793.44,915.22,821.55,2,284,,630.9695899,629.9293896,629.737991,4.917063812,4.878321005,4.908966953
6455,13878,18.45,11.1,613,22.58,22.42,22.35,22.96,679,678,677,1.35,1.34,1.35,916.65,908.52,913.95,913.04,1.8,262,,636.1864815,631.9505266,631.5906813,6.67071518,6.668381899,6.833480269
6504,13987,19.83,14.3,587,20.32,20.47,20.27,20.24,683,677,677,1.34,1.34,1.35,915.22,907.18,913.95,912.12,2.6,278,,633.6397348,630.2052545,631.0227156,5.860349523,5.807419583,5.900552982
6670,14296,21.76,12.1,582,21.63,21.58,21.37,21.93,706,714,703,1.31,1.39,1.3,924.86,992.46,913.9,943.74,3.8,238,,635.8199749,632.5813718,632.0433681,6.181679769,6.127951232,6.304529622
6697,14350,23.41,14.3,563,19.39,19.44,19.03,19.71,649,648,648,1.36,1.41,1.41,882.64,913.68,913.68,903.33,4.6,245,,633.4834775,631.5936147,630.767884,5.404756084,5.393636028,5.359066813
6754,14479,7.6,6.6,79,17.18,16.82,16.87,17.85,696,692,692,1.28,1.29,1.32,890.88,892.68,913.44,899,0.6,82,,637.9681033,633.1388701,633.2147511,0.618152429,0.629183815,0.649564555
6839,14660,15.16,13.6,121,18.57,19.13,18.07,18.5,661,656,657,1.35,1.33,1.39,892.35,872.48,913.23,892.69,0.9,83,,634.2806625,631.2417507,630.9814376,1.076458545,1.0943537,1.11337087
6983,14960,18.97,13.7,342,20.94,23.22,19.82,19.79,623,620,621,1.56,1.45,1.47,971.88,899,912.87,927.92,2.8,298,,637.9388645,633.2557653,635.1084725,3.330786964,3.579202565,3.685129272
7193,15366,16.45,4.3,757,21.99,22.08,22.05,21.83,713,710,713,1.31,1.31,1.28,934.03,930.1,912.64,925.59,0.8,234,,633.8490124,630.0874093,630.7271112,8.036272476,8.057339236,8.10767712
7234,15463,19.93,6,573,19.01,19.17,18.87,18.99,692,689,686,1.32,1.35,1.33,913.44,930.15,912.38,918.66,1.6,74,,635.3682532,632.3427067,631.3467807,5.328688299,5.298057226,5.293809237
7235,15465,19.91,5.8,567,18.72,18.8,18.59,18.77,651,648,642,1.48,1.5,1.42,963.48,972,911.64,949.04,0.6,152,,636.4084626,632.3657124,631.9523046,5.217836104,5.125636185,5.187785157
7487,16003,16.41,7.7,740,21.69,21.8,21.73,21.54,754,655,675,1.39,6.63,1.35,1048.06,4342.65,911.25,2100.65,1.8,281,,635.1877041,631.5511457,632.2952158,7.703328258,7.756146427,7.852619083
7534,16092,18.81,9.3,580,19.88,21.36,19.19,19.08,687,686,685,1.24,1.27,1.33,851.88,871.22,911.05,878.05,0.9,337,,631.5641721,630.250157,629.9178206,5.469653642,5.726588943,5.854080594
7594,16203,19.24,11.1,726,21.06,21.17,20.95,21.06,645,644,646,1.61,1.49,1.41,1038.45,959.56,910.86,969.62,3.7,283,,632.2984803,630.005169,630.1305102,7.440156312,7.490157572,7.586237477
7632,16281,22.53,13.6,693,19.54,18.19,20.04,20.4,693,692,690,1.23,1.22,1.32,852.39,844.24,910.8,869.14,3.2,304,,629.3312639,625.611953,626.049314,6.968757178,6.625318853,6.518299127
7639,16295,20.14,13.5,617,19.55,19.78,19.52,19.36,690,691,689,1.3,1.33,1.32,897,919.03,909.48,908.5,2.6,296,,634.0749165,631.5887808,631.9194701,5.932611477,5.900204644,6.009967674
7749,16509,21.53,17.2,334,16.8,17.02,16.14,17.24,692,691,689,1.35,1.31,1.32,934.2,905.21,909.48,916.3,2.6,237,,635.7404731,633.065678,632.3797555,2.727894815,2.755597088,2.702030608
7750,16510,21.22,17,307,17.16,17.08,17.41,16.98,646,648,645,1.19,1.24,1.41,768.74,803.52,909.45,827.24,2.7,270,,636.386314,633.9938588,632.2049152,2.613747443,2.527593376,2.572421614
7751,16511,20.89,17.3,286,17.13,17.85,16.76,16.77,662,662,659,1.36,1.37,1.38,900.32,906.94,909.42,905.56,3.7,256,,634.3967553,632.3376785,631.2469274,2.391147233,2.406271072,2.421120729
7752,16513,20.56,17,269,16.6,17.48,16.24,16.07,659,657,659,1.41,1.35,1.38,929.19,886.95,909.42,908.52,3.3,265,,634.7872439,633.4668774,631.2414845,2.194281466,2.168709162,2.261325322
7769,16541,8.72,8.6,71,18.28,17.14,18.17,19.54,651,647,640,1.48,1.43,1.42,963.48,925.21,908.8,932.5,2.6,100,,633.163356,633.8748181,629.6928536,0.616320308,0.550693914,0.65754305
7806,16623,21.16,12.6,387,17.45,17.66,17.61,17.08,727,716,744,0.62,0.14,1.22,450.74,100.24,907.68,486.22,1.2,348,,634.2314509,630.8613917,631.8714059,3.337429988,3.28089176,3.403320174
7831,16694,6.45,6.8,53,20.15,20.3,20.17,19.98,734,727,729,0.97,3.3,1.24,711.98,2399.1,903.96,1338.35,6,23,,631.8004411,630.5973278,627.3210733,0.506385728,0.494732328,0.497298305
7844,16720,5.04,5.4,33,26.24,23.59,28.61,26.53,522,691,728,1.29,0.17,1.24,673.38,117.47,902.72,564.52,1.3,346,,629.1086724,632.0022965,626.5707476,0.421498385,0.381766295,0.409898991
7891,16817,19.8,12.7,766,21.23,21.04,20.92,21.72,693,688,689,1.28,1.31,1.31,887.04,901.28,902.59,896.97,8.8,301,,631.2337991,628.9900351,627.8212445,7.9519143,7.95615536,7.995994473
7979,16996,18.26,11.9,704,20.76,21.15,20.47,20.65,644,644,644,1.5,1.43,1.4,966,920.92,901.6,929.51,3.3,304,,636.0188691,632.4829303,631.8726292,7.023527963,7.081193713,7.243217485
8106,17260,15.24,14.9,130,19.66,19.57,19.8,19.61,693,696,687,1.26,1.27,1.31,873.18,883.92,899.97,885.69,3.8,173,,634.0254346,631.3488898,630.6309054,1.246932476,1.218838805,1.220095273
3433,7657,18.47,-1.1,588,26.83,26.31,26.84,27.32,667,666,666,1.48,1.34,1.35,987.16,892.44,899.1,926.23,0,258,,631.4113857,629.470313,628.4853297,7.682784288,7.639872503,7.857563903
3611,8050,18.08,-1.8,586,26.32,26.09,26.17,26.7,718,664,743,0.62,0.26,1.21,445.16,172.64,899.03,505.61,0.7,152,,635.8311381,631.8866587,631.3449669,7.391086926,7.450780184,7.592063804
4744,10420,17.57,-1.3,681,25.71,25.49,25.7,25.93,691,688,686,1.29,1.29,1.31,891.39,887.52,898.66,892.52,1.8,178,,633.4593592,630.8139543,628.4361132,8.403876272,8.498860976,8.580742377
4745,10422,17.49,-0.7,677,25.82,25.62,25.81,26.03,633,630,628,1.47,1.42,1.43,930.51,894.6,898.04,907.72,1.8,229,,632.5897963,630.1223006,628.8631625,8.405890372,8.465306808,8.584689486
4746,10428,18.1,-0.6,680,25.5,24.91,25.61,25.98,648,652,646,1.23,1.35,1.39,797.04,880.2,897.94,858.39,1.3,275,,632.9787624,629.8048042,629.0523348,8.429168096,8.420908942,8.572924533
4759,10456,19.51,1.1,662,25.35,25.42,25.2,25.42,743,654,670,1.39,6.62,1.34,1032.77,4329.48,897.8,2086.68,1.2,248,,631.5351314,629.3941442,629.2474632,8.19934637,8.179656799,8.256298058
4763,10462,18.76,1,646,25.28,24.78,25.25,25.82,695,699,690,1.24,1.44,1.3,861.8,1006.56,897,921.79,2.1,257,,634.4329666,630.9673526,629.786708,7.955330831,7.899210267,7.971317515
4860,10656,22.45,8.5,614,24.41,24.43,24.15,24.63,688,685,689,1.18,1.11,1.3,811.84,760.35,895.7,822.63,4.4,268,,632.5267578,630.0407913,628.2057015,7.355529487,7.37500303,7.551456756
4875,10682,21.7,11.1,546,23.88,23.68,23.68,24.27,711,707,705,1.23,1.26,1.27,874.53,890.82,895.35,886.9,3.4,275,,633.702879,631.0957588,629.3311893,6.412576806,6.32646655,6.503374705
4878,10686,22.2,11.5,522,23.52,23.4,23.21,23.95,650,652,648,1.31,1.29,1.38,851.5,841.08,894.24,862.27,3.7,258,,634.001643,630.8406278,630.3616042,6.033032629,5.984627095,6.084974083
4880,10689,22.03,11.8,501,23.61,23.71,23.43,23.68,693,691,693,1.19,1.19,1.29,824.67,822.29,893.97,846.98,2.5,288,,633.6874061,631.2261799,629.4310917,5.863415363,5.80677305,5.897994657
4881,10690,22.12,11.9,497,23.45,23.48,23.28,23.58,624,619,634,1.8,1.42,1.41,1123.2,878.98,893.94,965.37,2.2,258,,634.2275193,630.2435069,630.2282343,5.749187089,5.701847634,5.800075208
4885,10696,22.26,12.5,472,22.93,22.91,22.88,23,691,687,687,1.28,1.28,1.3,884.48,879.36,893.1,885.65,3.9,268,,635.4881912,631.4372247,630.2028634,5.37088436,5.286843105,5.358831734
5111,11086,3.62,3.8,75,19.74,17.36,20.8,21.06,753,740,738,1.18,1.19,1.21,888.54,880.6,892.98,887.37,3.1,55,,651.1734777,648.6096852,644.4155652,0.633536134,0.605037443,0.748093487
5300,11449,20.24,6.2,687,24.05,24.37,23.52,24.27,745,653,666,1.25,6.7,1.34,931.25,4375.1,892.44,2066.26,4.3,263,,633.0874194,629.414167,629.0511942,7.985101897,8.136163701,8.178893195
5303,11456,20.99,6.6,667,23.85,23.38,23.93,24.25,663,659,661,1.38,1.45,1.35,914.94,955.55,892.35,920.95,4.1,263,,632.6130446,630.4428538,629.1737168,7.840921129,7.793127328,7.965490895
5427,11708,22.53,12.9,467,21.79,21.96,21.93,21.47,690,688,686,1.38,1.37,1.3,952.2,942.56,891.8,928.85,2,287,,633.246898,630.625257,629.5143385,5.032872599,4.995319233,5.080519518
5517,11918,21.93,15.6,489,21.38,21.64,21.03,21.48,719,716,713,1.18,1.2,1.25,848.42,859.2,891.25,866.29,1.8,300,,630.2168686,629.5322431,627.700174,5.206349243,5.173746276,5.12968488
5559,12022,20.07,0.9,648,23.43,23.29,23.22,23.77,687,686,685,1.29,1.34,1.3,886.23,919.24,890.5,898.66,2.2,112,,632.7001716,631.2989101,628.6459997,7.398090738,7.393357818,7.568599251
5561,12025,19.06,1.1,661,23.59,23.57,23.38,23.82,662,659,659,1.29,1.27,1.35,853.98,836.93,889.65,860.19,2.4,92,,632.8757017,629.9196012,629.3844035,7.565454107,7.606664987,7.729193379
5574,12061,16.01,3,712,25.02,24.96,24.69,25.41,752,735,741,1.02,1.08,1.2,767.04,793.8,889.2,816.68,2.6,296,,630.4754833,628.4622145,628.2412088,8.517649721,8.6056108,8.717490637
5668,12250,19.24,4.2,673,24.35,24.3,24.41,24.35,719,672,741,0.6,0.27,1.2,431.4,181.44,889.2,500.68,3.7,234,,634.9496152,631.7315965,630.4718636,8.004612617,8.001582582,8.095178181
5669,12254,19.76,4.7,673,24.05,24.07,23.89,24.18,635,631,626,1.42,1.42,1.42,901.7,896.02,888.92,895.55,2.6,254,,632.7086646,629.696424,628.2105995,7.907776245,7.935382024,8.039759315
5693,12308,21.39,6.7,600,22.93,22.83,22.66,23.29,692,694,689,1.26,1.25,1.29,871.92,867.5,888.81,876.08,2.8,265,,632.9307075,630.4746038,629.0096885,6.684652952,6.726590877,6.817440645
5760,12449,21.18,7,655,23.31,23.48,23.37,23.08,697,692,688,1.43,1.33,1.29,996.71,920.36,887.52,934.86,3.1,278,,632.9956567,630.1661519,629.0450638,7.519796469,7.536711406,7.682212293
5853,12637,21.45,8.3,543,21.95,21.89,21.47,22.49,672,669,672,1.06,0.92,1.32,712.32,615.48,887.04,738.28,2.4,265,,633.9317031,631.6374547,630.908763,5.809327001,5.851307441,5.885243878
6156,13251,21.99,14.2,511,21.26,21.5,21.06,21.21,649,645,646,1.34,1.27,1.37,869.66,819.15,885.02,857.94,1.5,280,,630.4039401,629.6894478,627.7533555,5.411297154,5.326257056,5.381709414
6345,13654,21.47,15.7,415,19.86,19.66,20.02,19.89,668,665,665,1.26,1.27,1.33,841.68,844.55,884.45,856.89,3.1,174,,633.533335,632.6743667,630.5727166,4.092171465,3.991586269,4.127857201
6350,13663,22.53,17.1,422,18.7,18.11,18.82,19.17,750,739,737,1.04,1.18,1.2,780,872.02,884.4,845.47,3,209,,632.2978272,631.291192,628.9368293,4.006336064,3.81484467,4.022325588
6351,13664,23.08,17.5,449,19.64,19.28,18.44,21.19,697,696,696,1.28,1.26,1.27,892.16,876.96,883.92,884.35,2,228,,633.9737023,632.4038188,630.4098566,4.285293195,4.294605487,4.196515727
6569,14104,17.89,9.1,736,22.77,22.92,22.67,22.72,661,659,659,1.3,1.3,1.34,859.3,856.7,883.06,866.35,5.2,43,,630.4738517,628.6285281,628.0465289,8.173523197,8.119918086,8.288712877
6571,14106,17.97,9,737,22.8,23.07,22.31,23.01,700,702,700,1.21,1.24,1.26,847,870.48,882,866.49,4.6,13,,628.7651804,628.7522874,625.8992175,8.147329988,8.221248297,8.305733443
6699,14352,23.83,15,543,20.04,20.24,20.33,19.54,731,733,728,1.26,1.3,1.21,921.06,952.9,880.88,918.28,2,265,,632.8392941,629.4717496,629.5079586,5.411982546,5.423787407,5.527060633
6826,14634,22.3,15.1,359,17.39,17.86,16.95,17.35,727,731,728,1.24,1.24,1.21,901.48,906.44,880.88,896.27,0.4,307,,632.3954532,630.5447514,630.3956616,3.057754589,3.123445168,3.135881101
6827,14635,23.03,15,354,17.37,17.89,16.95,17.26,718,661,746,0.61,0.27,1.18,437.98,178.47,880.28,498.91,2.3,322,,631.5281623,630.5580126,630.0719133,3.081095966,3.045000799,3.106664643
6838,14658,15.43,13.6,163,16.24,15.95,15.8,16.95,689,688,693,1.25,1.23,1.27,861.25,846.24,880.11,862.53,1.4,89,,634.9262588,632.7585418,630.9232593,1.252120039,1.247967215,1.283506403
6873,14738,21.49,17.3,300,18.95,18.92,18.47,19.46,700,708,704,1.03,1.16,1.25,721,821.28,880,807.43,4.5,220,,632.7913093,632.4586266,630.4251214,2.915147562,2.733595288,2.827513244
6874,14739,21.31,17.3,319,17.42,17.23,17.07,17.95,682,686,682,1.16,1.18,1.29,791.12,809.48,879.78,826.79,2.8,213,,633.7588022,631.0607445,632.0367983,2.708417843,2.659449779,2.689766088
6887,14763,23.72,19,584,13.5,12.44,13.31,14.76,623,621,619,1.43,1.36,1.42,890.89,844.56,878.98,871.48,6.6,188,,633.2713341,632.7514836,628.5207164,3.940057028,3.830448352,3.960791539
6906,14798,25.99,21.6,490,19.51,18.7,20.53,19.31,696,691,692,1.35,0.9,1.27,939.6,621.9,878.84,813.45,3.8,246,,627.8657917,628.2522088,624.891614,5.048225956,4.64625203,4.82812579
7032,15062,9.97,9.9,61,22.75,25.74,22.94,19.58,708,702,703,1.19,1.21,1.25,842.52,849.42,878.75,856.9,4.3,273,,630.0211674,629.0467676,623.1081095,0.702226788,0.671214666,0.720809118
7105,15180,17.2,8.6,814,22.42,22.32,22.19,22.74,658,652,650,1.65,1.52,1.35,1085.7,991.04,877.5,984.75,3.4,286,,631.0117153,628.2609131,626.9141153,8.844222451,8.892917613,9.048667763
7197,15375,16.62,4.6,792,22.16,22.21,21.84,22.42,761,652,640,1.19,6.79,1.37,905.59,4427.08,876.8,2069.82,1.4,9,,630.6425597,628.3176818,627.9409123,8.462904946,8.482528261,8.638651809
7233,15462,19.49,5.8,577,19.02,19.22,18.87,18.96,642,636,635,1.4,1.42,1.38,898.8,903.12,876.3,892.74,1,104,,635.3389565,631.4450666,630.4384176,5.377360038,5.332620907,5.33943708
7496,16025,17.74,8,811,20.95,21.14,20.94,20.77,689,690,690,1.3,1.27,1.27,895.7,876.3,876.3,882.77,1.1,327,,631.9280623,628.5211718,627.4821888,8.258282467,8.229866473,8.406688645
7682,16382,22.78,8.8,537,19.12,18.82,18.79,19.75,632,629,630,1.41,1.38,1.39,891.12,868.02,875.7,878.28,1.1,307,,632.9910179,630.2971145,629.4604205,5.094432363,5.028105224,5.013474224
7742,16499,22.95,17,435,16.47,16.84,16.23,16.34,749,737,742,1,1.1,1.18,749,810.7,875.56,811.75,2.7,273,,633.5411279,631.0728547,629.7651958,3.527515711,3.500004788,3.601149232
7745,16502,22.93,17,406,16.75,17.05,16.1,17.09,682,686,684,1.27,1.28,1.28,866.14,878.08,875.52,873.25,2.1,274,,631.5192604,631.2745896,630.076667,3.357527593,3.322734185,3.462754953
7746,16505,22.49,17,335,16.84,16.82,16.77,16.92,710,707,706,1.22,1.16,1.24,866.2,820.12,875.44,853.92,5.1,263,,633.1762139,631.2976425,630.2845713,2.804901737,2.760350708,2.793519627
7753,16517,19.68,16.8,224,17.02,17.56,16.71,16.81,678,673,673,1.24,1.25,1.3,840.72,841.25,874.9,852.29,2.4,244,,633.1661809,631.2637746,630.4263995,1.820081081,1.873115988,1.878650632
7755,16520,18.95,16.7,200,16.95,17.15,16.84,16.86,729,732,717,1.19,1.07,1.22,867.51,783.24,874.74,841.83,2,254,,632.0595046,631.1665569,629.3370925,1.716221399,1.621697399,1.701375496
7756,16523,18.43,16.7,174,16.96,17.38,16.71,16.78,652,650,643,1.29,1.34,1.36,841.08,871,874.48,862.19,3.1,252,,632.4248404,630.9818511,628.5480862,1.447704535,1.423929376,1.434001053
7830,16693,6.89,7.1,57,19.23,19.19,18.73,19.76,658,655,657,1.31,1.29,1.33,861.98,844.95,873.81,860.25,1.6,351,,632.8614848,631.1828428,626.1840482,0.503527274,0.518550125,0.525507363
7897,16825,18.91,13.6,763,21.77,21.86,21.7,21.74,688,683,682,1.24,1.23,1.28,853.12,840.09,872.96,855.39,5.3,267,,633.2014429,629.0180243,628.6967577,8.098610056,8.098821595,8.211590266
7982,17001,19.06,12.3,713,21.34,21.11,21.36,21.55,691,690,686,1.26,1.34,1.27,870.66,924.6,871.22,888.83,4.7,329,,634.0551216,630.7205694,629.8179529,7.38908084,7.343091032,7.524358496
8017,17083,21.53,14.6,640,18.24,18.37,18.04,18.3,724,724,726,1.19,1.23,1.2,861.56,890.52,871.2,874.43,1.4,298,,630.0657223,628.8464961,627.3336883,5.767007239,5.71705537,5.82790814
8098,17246,17.76,15.1,257,15.24,13.97,14.76,16.99,665,659,660,1.3,1.3,1.32,864.5,856.7,871.2,864.13,4,177,,637.2714803,633.3873661,634.3643781,1.896595942,1.858057288,1.880444739
8150,17349,8.99,8.8,83,17.01,16.68,17.22,17.13,698,699,696,1.26,1.24,1.25,879.48,866.76,870,872.08,2.4,280,,635.7235876,632.9191543,631.341532,0.667452941,0.65528013,0.67715702
8151,17350,8.74,8.2,78,16.6,17.21,16.67,15.92,699,696,695,1.27,1.31,1.25,887.73,911.76,868.75,889.41,0.4,256,,634.5811642,629.1691721,627.9395817,0.623868316,0.615937807,0.614970403
